Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
DOCN,"DigitalOcean Holdings, Inc.",73.46,9.31,14.51%,3.156M,1.301M,7.885B,N/A,
WEX,WEX Inc.,175.74,-2,-1.33%,"308,850","309,667",7.873B,N/A,
VRNS,"Varonis Systems, Inc.",73.15,2.13,0.03,"710,825","780,576",7.821B,N/A,
KC,Kingsoft Cloud Holdings Limited,33.95,0,0.71%,"929,373",1.747M,7.595B,N/A,
WK,Workiva Inc.,149,4,0.025,"424,772","343,410",7.529B,N/A,
CMSQY,Computershare Limited,12.22,0,0.00%,168,"1,732",7.4B,36.15,
ITTOY,ITOCHU Techno-Solutions Corporation,15.4,0,0.00%,"2,247",51,7.375B,24.62,
TISNF,TIS Inc.,28.55,0,0.00%,"1,700",884,7.252B,26.91,
NCNO,"nCino, Inc.",74.63,2.11,2.91%,1.924M,"663,389",7.179B,N/A,
EEFT,"Euronet Worldwide, Inc.",134.4,-1.18,-0.87%,"83,522","312,184",7.1B,64,
FOUR,"Shift4 Payments, Inc.",85.45,-1.37,-1.58%,"415,321","988,478",7.083B,N/A,
CCCS,CCC Intelligent Solutions Holdings Inc.,11.87,0,0.76%,"882,442","681,189",7.057B,1.94,
RPD,"Rapid7, Inc.",124.95,2,1.37%,"260,611","493,664",6.97B,N/A,
MSTR,MicroStrategy Incorporated,712.26,17,2.38%,"738,023","906,495",6.943B,N/A,
SPT,"Sprout Social, Inc.",128.32,5,3.68%,"287,548","472,593",6.91B,N/A,
TASK,"TaskUs, Inc.",70.82,2.62,0.0384,1.113M,"689,251",6.89B,N/A,
BL,"BlackLine, Inc.",117.88,4,3.56%,"553,682","309,210",6.885B,N/A,
TUYA,Tuya Inc.,12.21,-0.72,-5.57%,2.216M,1.431M,6.835B,N/A,
DSGX,The Descartes Systems Group Inc,80.74,0,0.42%,"119,649","63,650",6.824B,117.01,
TMVWY,TeamViewer AG,16.85,0,0.0228,"44,962","49,996",6.776B,72.79,
CYBR,CyberArk Software Ltd.,170,2,1.02%,"225,537","371,957",6.759B,N/A,
PSFE,Paysafe Limited,9.24,0,3.36%,5.622M,8.035M,6.687B,N/A,
VMEO,"Vimeo, Inc.",40.1,0.25,0.63%,"585,393",1.343M,6.602B,N/A,
DRKTF,Darktrace plc,9.18,1,0.08,"6,242","5,733",6.578B,N/A,
JCOM,"J2 Global, Inc.",136.17,-2,-1.19%,"152,923","369,360",6.564B,29.93,
SQSP,"Squarespace, Inc.",46.88,0.14,0.30%,"96,213","262,068",6.493B,N/A,
EVBG,"Everbridge, Inc.",166.36,3.86,2.38%,"309,457","390,698",6.386B,N/A,
DCT,"Duck Creek Technologies, Inc.",47.96,0.62,1.31%,"395,817","474,271",6.317B,N/A,
COMP,"Compass, Inc.",16.16,-0.5,-3.00%,"646,484","665,965",6.3B,N/A,
SWCH,"Switch, Inc.",26.04,0.11,0.0042,1.911M,2.207M,6.294B,120.56,
BB,BlackBerry Limited,11.07,-0.18,-1.60%,4.788M,22.32M,6.27B,N/A,
PYCR,"Paycor HCM, Inc.",35.7,0.86,2.47%,"121,829","786,960",6.227B,N/A,
TDC,Teradata Corporation,57.04,0.14,0.0025,"530,756","850,660",6.223B,63.38,
LAZR,"Luminar Technologies, Inc.",17.28,-0.14,-0.80%,1.733M,4.173M,6.211B,N/A,
APPS,"Digital Turbine, Inc.",63.89,0.54,0.85%,16.941M,3.639M,6.14B,106.84,
STMP,Stamps.com Inc.,328.8,-0.08,-0.02%,"232,435","394,606",6.108B,54.17,
DUOL,"Duolingo, Inc.",163.06,10.97,7.21%,"298,843","428,435",6.101B,N/A,
CACI,CACI International Inc,256.32,-2.6,-1.00%,"116,051","184,610",6.046B,14.01,
AEXAF,Atos SE,53.97,0,0.00%,"3,985",592,5.93B,54.02,
DV,"DoubleVerify Holdings, Inc.",37.41,1.1,3.03%,"107,867","368,837",5.905B,"2,200.59",
AEXAY,Atos SE,10.64,-0.14,-1.30%,"13,946","37,028",5.895B,53.25,
RSKD,Riskified Ltd.,36.92,2.84,0.0833,1.072M,"985,566",5.82B,N/A,
TSYHY,TravelSky Technology Limited,19.57,0.13,0.0066,"18,698","10,889",5.726B,39.14,
